,Month,Payroll in thousand U.S. dollars
0,Diego Valeri,2420.0
1,Sebastian Blanco,1375.01
2,Brian Fernandez,1275.8
3,Larrys Mabiala,793.33
4,Lucas Melano,700.0
5,Jorge Villafana,617.5
6,Jorge Moreira Ferreira,607.96
7,Claude Dielna,600.0
8,Diego Chara,572.0
9,Tomas Conechny,403.5
10,Cristhian Paredes,283.5
11,Jeremy Ebobisse,238.0
12,Dairon Asprilla,213.75
13,Jeff Attinella,187.25
14,Julio Cascante,170.0
15,Aljaz Ivacic,160.0
16,Zarek Valentin,160.0
17,Andy Polo,150.0
18,Steve Clark,140.0
19,Eryk Williamson,136.5
20,Bill Tuiloma,107.51
21,Marco Farfan,80.25
22,Andrea Flores,70.25
23,Kendall McIntosh,70.25
24,Modou Jadama,70.25
25,Renzo Zambrano,70.25
26,Foster Langsdorf,57.23
27,Marvin Loria,56.25
