,Month/day/year,Index value
0,12/14/2020,30199.31
1,12/7/2020,30046.37
2,11/30/2020,30218.26
3,11/23/2020,29910.37
4,11/16/2020,29438.42
5,11/9/2020,29479.81
6,11/2/2020,28323.4
7,10/25/2020,26501.6
8,10/18/2020,28335.57
9,10/11/2020,28606.31
10,10/4/2020,28586.9
11,9/30/2020,27772.76
12,9/23/2020,27452.66
13,9/16/2020,27288.18
14,9/9/2020,27995.6
15,9/2/2020,27500.89
16,8/26/2020,28645.66
17,8/19/2020,28248.44
18,8/12/2020,27778.07
19,8/5/2020,27686.91
20,7/29/2020,26828.47
21,7/22/2020,26379.28
22,7/15/2020,26840.4
23,7/8/2020,26642.59
24,7/1/2020,25890.18
25,6/24/2020,25445.94
26,6/17/2020,26080.1
27,6/10/2020,26289.98
28,6/3/2020,27272.3
29,5/27/2020,25742.65
30,5/20/2020,24995.11
31,5/13/2020,24206.86
32,5/6/2020,23764.78
33,4/29/2020,23883.09
34,4/22/2020,24101.55
35,4/15/2020,23018.88
36,4/8/2020,23949.76
37,4/1/2020,22653.86
38,3/25/2020,21200.55
39,3/18/2020,20704.91
40,3/11/2020,21237.38
41,3/4/2020,25018.16
42,2/26/2020,25917.41
43,2/19/2020,27081.36
44,2/12/2020,29232.19
45,2/5/2020,29276.34
46,1/29/2020,28807.63
47,1/22/2020,28722.85
48,1/15/2020,29196.04
49,1/8/2020,28939.67
50,1/1/2020,28583.68
