,Month,Number of deaths
0,"Jan 5, 2021",76329
1,"Jan 4, 2021",75680
2,"Jan 3, 2021",75332
3,"Jan 2, 2021",74985
4,"Jan 1, 2021",74621
5,"Dec 31, 2020",74159
6,"Dec 30, 2020",73604
7,"Dec 29, 2020",73029
8,"Dec 28, 2020",72370
9,"Dec 27, 2020",71925
10,"Dec 26, 2020",71627
11,"Dec 25, 2020",71359
12,"Dec 24, 2020",70900
13,"Dec 23, 2020",70395
14,"Dec 22, 2020",69842
15,"Dec 21, 2020",69214
16,"Dec 20, 2020",68799
17,"Dec 19, 2020",68447
18,"Dec 18, 2020",67894
19,"Dec 17, 2020",67220
20,"Dec 16, 2020",66537
21,"Dec 15, 2020",65857
22,"Dec 14, 2020",65011
23,"Dec 13, 2020",64520
24,"Dec 12, 2020",64036
25,"Dec 11, 2020",63387
26,"Dec 10, 2020",62626
27,"Dec 9, 2020",61739
28,"Dec 8, 2020",61240
29,"Dec 7, 2020",60606
30,"Dec 6, 2020",60078
31,"Dec 5, 2020",59514
32,"Dec 4, 2020",58852
33,"Dec 3, 2020",58038
34,"Dec 2, 2020",57045
35,"Dec 1, 2020",56361
36,"Nov 30, 2020",55576
37,"Nov 29, 2020",54904
38,"Nov 28, 2020",54363
39,"Nov 27, 2020",53677
40,"Nov 26, 2020",52850
41,"Nov 25, 2020",52028
42,"Nov 24, 2020",51306
43,"Nov 23, 2020",50453
44,"Nov 22, 2020",49823
45,"Nov 21, 2020",49261
46,"Nov 20, 2020",48569
47,"Nov 19, 2020",47870
48,"Nov 18, 2020",47217
49,"Nov 17, 2020",46464
50,"Nov 16, 2020",45733
51,"Nov 15, 2020",45229
52,"Nov 14, 2020",44683
53,"Nov 13, 2020",44139
54,"Nov 12, 2020",43589
55,"Nov 11, 2020",42953
56,"Nov 10, 2020",42330
57,"Nov 9, 2020",41750
58,"Nov 8, 2020",41394
59,"Nov 7, 2020",41063
60,"Nov 6, 2020",40638
61,"Nov 5, 2020",40192
62,"Nov 4, 2020",39747
63,"Nov 3, 2020",39412
64,"Nov 2, 2020",39059
65,"Nov 1, 2020",38826
66,"Oct 31, 2020",38618
67,"Oct 30, 2020",38321
68,"Oct 29, 2020",38122
69,"Oct 28, 2020",37905
70,"Oct 27, 2020",37700
71,"Oct 26, 2020",37479
72,"Oct 25, 2020",37338
73,"Oct 24, 2020",37210
74,"Oct 23, 2020",37059
75,"Oct 22, 2020",36968
76,"Oct 21, 2020",36832
77,"Oct 20, 2020",36705
78,"Oct 19, 2020",36616
