,Types of insurance contracts,Gross written premiums in million Croatian kuna
0,Motor vehicle liability insurance,596.23
1,Insurance of land motor vehicles,348.2
2,Other property insurance lines,280.47
3,Insurance against fireand natural disasters,259.86
4,Health insurance,188.12
5,Other liability insurance lines,177.16
6,Personal accident insurance,138.54
7,Credit insurance,89.62
8,Insurance of vessels,54.66
9,Insurance of miscellaneousfinancial losses,53.48
10,Assistance (travel insurance),37.5
11,Insurance of goods in transit,17.5
12,Insurance of liability arising outof use of vessels,7.24
13,Suretyship insurance,6.31
14,Insurance of aircrafts,6.15
15,Insurance of legal protection,2.64
16,Insurance of railway locomotivesand rolling stock,1.78
17,Aircraft liability insurance,1.01
