,Largest companies in Gotland county,Turnover in thousand SEK
0,"Svenska Spel, AB",8784000
1,Rederi AB Gotland,2454204
2,PayEx Sverige AB,424413
3,Teg AB,412186
4,Brukets Livs AB,377854
5,"Gotlandshem, AB",361417
6,Järn AB Södertorg,243174
7,Arriba Byggnads AB,211688
8,BRS Networks AB,207524
9,Gotlandsägg AB,160052
10,Wisab Bygg AB,145863
11,"Visby Motorcentral, AB",144401
12,Bilcompaniet & c/o AB,136739
13,Visby Bilcity AB,133375
14,PAJO Livs i Visby AB,123516
15,Dan Kolmodin Bygg AB,123291
16,Abirra AB,123291
17,Roma Grus AB,107622
18,"Dennis Lundins Bil, AB",101435
19,Hansa Wood AB,97570
