,property crime ttypes,"Rate of crime per 100,000 residents"
0,"Total theft under $5,000 (non-motor vehicle)",1502.36
1,Total mischief,757.08
2,Total breaking and entering,429.09
3,Fraud,378.14
4,Total theft of motor vehicle,231.62
5,Total possession of stolen property,65.48
6,"Total theft over $5,000 (non-motor vehicle)",56.82
7,Identity fraud,52.31
8,Arson,21.79
9,Identity theft,12.46
10,Total trafficking in stolen property,3.03
11,"Altering, removing or destroying Vehicle Identification Number (VIN)",0.31
