,Month,Market share
0,Sep 20,4.45%
1,Aug 20,3%
2,Jul 20,3.76%
3,Jun 20,4.05%
4,May 20,2.75%
5,Apr 20,2.45%
6,Mar 20,4.92%
7,Feb 20,3.5%
8,Jan 20,5.53%
9,Dec 19,3.56%
10,Nov 19,3.73%
11,Oct 19,4.34%
12,Sep 19,4%
13,Aug 19,2.51%
14,Jul 19,3.94%
15,Jun 19,4.14%
16,May 19,4.22%
17,Apr 19,3.94%
18,Mar 19,4.36%
19,Feb 19,3.01%
20,Jan 19,4.33%
21,Dec 18,3.67%
22,Nov 18,3.6%
23,Oct 18,4.19%
24,Sep 18,4.97%
25,Aug 18,2.64%
26,Jul 18,3.85%
27,Jun 18,3.68%
28,May 18,4.52%
29,Apr 18,4.44%
30,Mar 18,5.18%
31,Feb 18,2.87%
32,Jan 18,4.84%
33,Dec 17,5.09%
34,Nov 17,4.78%
35,Oct 17,5.17%
36,Sep 17,6.76%
37,Aug 17,4.85%
38,Jul 17,6.04%
39,Jun 17,5.37%
40,May 17,5.71%
41,Apr 17,5.29%
42,Mar 17,6.57%
43,Feb 17,6.06%
44,Jan 17,6.52%
45,Dec 16,5.97%
46,Nov 16,5.58%
47,Oct 16,6.55%
