,Year,National debt (in billion U.S. dollars)
0,'20,26945.39
1,'19,22719.4
2,'18,21516.06
3,'17,20244.9
4,'16,19573.45
5,'15,18150.62
6,'14,17824.07
7,'13,16738.18
8,'12,16066.24
9,'11,14790.34
10,'10,13561.62
11,'09,11909.83
12,'08,10024.72
13,'07,9007.65
14,'06,8506.97
15,'05,7932.71
16,'04,7379.05
17,'03,6783.23
18,'02,6228.24
19,'01,5807.46
20,'00,5674.18
21,'99,5656.27
22,'98,5526.19
23,'97,5413.15
24,'96,5224.81
25,'95,4973.98
26,'94,4692.75
27,'93,4411.49
28,'92,4064.62
29,'91,3665.3
30,'90,3233.31
