,Year,Gross domestic product in billion international dollars
0,2021*,1129.1
1,2020*,1035.05
2,2019,1001.48
3,2018,919.77
4,2017,838.56
5,2016,769.65
6,2015,713.99
7,2014,660.49
8,2013,609.35
9,2012,567.34
10,2011,527.62
11,2010,485.67
12,2009,451.1
13,2008,424.76
14,2007,394.33
15,2006,358.46
16,2005,325.24
17,2004,293.28
18,2003,264.95
19,2002,242.33
20,2001,222.78
21,2000,203.94
22,1999,186.8
23,1998,175.75
24,1997,164.32
25,1996,149.36
26,1995,134.15
27,1994,119.95
28,1993,107.91
29,1992,97.53
30,1991,87.73
31,1990,80.2
32,1989,73.59
33,1988,65.69
34,1987,60.37
35,1986,57.45
36,1985,54.49
37,1984,50.01
