,Quarter,Viewers in thousands
0,Q1 2012,55196
1,Q2 2012,55302
2,Q3 2012,54443
3,Q4 2012,55327
4,Q1 2013,55277
5,Q2 2013,55014
6,Q3 2013,54013
7,Q4 2013,55559
8,Q1 2014,55443
9,Q2 2014,55628
10,Q3 2014,54636
11,Q4 2014,55195
12,Q1 2015,53997
13,Q2 2015,53716
14,Q3 2015,53457
15,Q4 2015,54227
16,Q1 2016,53928
17,Q2 2016,54201
18,Q3 2016,52843
19,Q4 2016,54150
20,Q1 2017,53038
21,Q2 2017,51936
22,Q3 2017,51546
23,Q4 2017,53303
24,Q1 2018,52906
25,Q2 2018,51628
26,Q3 2018,47762
27,Q4 2018,48375
28,Q1 2019,48236
29,Q2 2019,46376
30,Q3 2019,45308
