,Response,Percentage of hospitals
0,Not available (e.g. hospital’s decision),70%
1,Too costly,44%
2,Lack of training,26%
3,Systems in the process of being/will be implemented,10%
4,Too time consuming,9%
5,Privacy concerns,8%
6,Unable to find product suitable for my practice,7%
7,Reliability concerns,7%
8,Integration with current systems/having multiple systems that aren't connected,5%
9,I am planning to retire soon,4%
10,Clinician buy-in/unwillingness to embrace change/not comfortable with new technology,2%
11,Other,10%
