,week,Year over year foot traffic growth (2020 vs. 2019)
0,Week 37,4.43%
1,Week 36,-1.14%
2,Week 35,-4.71%
3,Week 34,1.57%
4,Week 33,2.43%
5,Week 32,3.57%
6,Week 31,2.14%
7,Week 30,2%
8,Week 29,1.29%
9,Week 28,2.14%
10,Week 27,-3.71%
11,Week 26,-4.14%
12,Week 25,0.14%
13,Week 24,-6.57%
14,Week 23,-9.14%
15,Week 22,-16.57%
16,Week 21,-12.57%
17,Week 20,-15%
18,Week 19,-16.86%
19,Week 18,-16.29%
20,Week 17,-25.86%
21,Week 16,-26%
22,Week 15,-22.43%
23,Week 14,-30.43%
24,Week 13,-25.43%
25,Week 12,-5.29%
26,Week 11,36.71%
27,Week 10,22%
28,Week 9,14%
29,Week 8,4.57%
30,Week 7,5.14%
31,Week 6,3.86%
32,Week 5,4.5%
