,Year,Salary in U.S. dollars
0,2018-19,61730
1,2017-18,60477
2,2016-17,59539
3,2015-16,58316
4,2014-15,57626
5,2013-14,56826
6,2012-13,56212
7,2011-12,55871
8,2010-11,55495
9,2009-10,55370
10,2008-09,54368
11,2007-08,52800
12,2006-07,51052
13,2005-06,49086
14,2004-05,47516
15,2003-04,46542
16,2002-03,45686
17,2001-02,44655
18,2000-01,43378
19,1999-00,41807
20,1998-99,40544
21,1997-98,39350
22,1996-97,38443
23,1995-96,37642
24,1994-95,36675
25,1993-94,35737
26,1992-93,35029
27,1991-92,34063
28,1990-91,33084
29,1989-90,31367
30,1988-89,29564
31,1987-88,28034
32,1986-87,26569
33,1985-86,25199
34,1984-85,23600
35,1983-84,21935
36,1982-83,20695
37,1981-82,19274
38,1980-81,17644
39,1979-80,15970
