,player name,Goals scored
0,Eidur Gudjohnsen,26
1,Kolbeinn Sigthórsson,24
2,Gylfi Sigurdsson,22
3,Rikhardur Jonsson,19
4,Arnor Gudjohnsen,15
5,Rikhardur Dadason,14
6,Alfred Finnbogason,14
7,Birkir Bjarnason,13
8,Heidar Helguson,12
9,Tryggvi Gudmundsson,12
10,Thordur Gudjonsson,11
11,Matthias Hallgrimsson,11
12,Petur Petursson,11
13,Helgi Sigurdsson,10
14,Eyjolfur Sverrisson,10
15,Thordur Thordarson,9
16,Teitur Thordarson,8
17,Atli Edvaldsson,8
18,Gudmundur Thorbjornsson,8
19,Marteinn Geirsson,8
