,Year,Gross domestic product in billion international dollars
0,2021*,210.35
1,2020*,194.4
2,2019*,191.24
3,2018,177.95
4,2017,163.4
5,2016,152.94
6,2015,142.97
7,2014,133.84
8,2013,124.73
9,2012,115.77
10,2011,108.63
11,2010,100.28
12,2009,91.44
13,2008,87.85
14,2007,85.97
15,2006,78.35
16,2005,71.85
17,2004,65.94
18,2003,61.37
19,2002,58.52
20,2001,57.34
21,2000,53.96
22,1999,52.6
23,1998,50.73
24,1997,48.71
25,1996,47.69
26,1995,44.97
27,1994,42.24
28,1993,40.33
29,1992,39.44
30,1991,38.98
31,1990,37.2
32,1989,34.44
33,1988,31.7
34,1987,28.86
35,1986,26.62
36,1985,24.39
37,1984,22.71
