,Quarter,Average rent in euros per square meter
0,Q3 '19,16.62€
1,Q2 '19,16.31€
2,Q1 '19,16.33€
3,Q4 '18,16€
4,Q3 '18,16.04€
5,Q2 '18,15.82€
6,Q1 '18,15.56€
7,Q4 '17,15.25€
8,Q3 '17,15.23€
9,Q2 '17,14.85€
10,Q1 '17,14.7€
11,Q4 '16,14.34€
12,Q3 '16,14.11€
13,Q2 '16,13.5€
14,Q1 '16,13.38€
15,Q4 '15,13.14€
16,Q3 '15,13.27€
17,Q2 '15,12.71€
18,Q1 '15,12.61€
19,Q4 '14,12.49€
20,Q3 '14,12.61€
21,Q2 '14,12.42€
22,Q1 '14,12.37€
23,Q4 '13,12.33€
24,Q3 '13,12.62€
25,Q2 '13,12.43€
26,Q1 '13,12.28€
27,Q4 '12,12.24€
28,Q3 '12,12.61€
29,Q2 '12,12.11€
30,Q1 '12,12.06€
31,Q4 '11,12.7€
32,Q3 '11,12.19€
33,Q2 '11,12.17€
34,Q1 '11,12.1€
35,Q4 '10,12.38€
36,Q3 '10,12.21€
37,Q2 '10,12.15€
38,Q1 '10,12.3€
