,Country,Number of hospitals
0,Japan,8372
1,United States *,6210
2,Mexico,4629
3,Korea,3924
4,Germany *,3084
5,France,3042
6,United Kingdom,1910
7,Turkey,1534
8,Australia *,1327
9,Poland,1276
10,Italy,1059
11,Spain,782
12,Canada,715
13,Netherlands,549
14,Chile,353
15,Switzerland,281
16,Greece,271
17,Austria,264
18,Czech Republic,256
19,Finland,241
20,Portugal,230
21,Belgium,174
22,New Zealand,165
23,Hungary,165
24,Slovak Republic,130
25,Lithuania,95
26,Ireland,86
27,Israel,85
28,Latvia,62
29,Estonia,30
30,Slovenia,29
31,Luxembourg,10
32,Iceland,8
