,Month,Units sold
0,Dec 19,5719
1,Nov 19,5504
2,Oct 19,5092
3,Sep 19,10918
4,Aug 19,3608
5,Jul 19,5666
6,Jun 19,7313
7,May 19,6115
8,Apr 19,5674
9,Mar 19,16318
10,Feb 19,3271
11,Jan 19,5653
12,Dec 18,4763
13,Nov 18,5270
14,Oct 18,5424
15,Sep 18,11070
16,Aug 18,3966
17,Jul 18,5561
18,Jun 18,7876
19,May 18,6335
20,Apr 18,6225
21,Mar 18,16301
22,Feb 18,3066
23,Jan 18,5276
24,Dec 17,4134
25,Nov 17,5073
26,Oct 17,5201
27,Sep 17,12810
28,Aug 17,2601
29,Jul 17,4861
30,Jun 17,7688
31,May 17,6060
32,Apr 17,5405
33,Mar 17,19014
34,Feb 17,3273
35,Jan 17,5952
36,Dec 16,5753
37,Nov 16,5868
38,Oct 16,5922
39,Sep 16,16130
40,Aug 16,3164
41,Jul 16,6916
42,Jun 16,8773
43,May 16,8208
44,Apr 16,6804
45,Mar 16,20209
46,Feb 16,3469
47,Jan 16,7313
48,Dec 15,6587
49,Nov 15,6722
50,Oct 15,6347
51,Sep 15,16875
52,Aug 15,3304
53,Jul 15,7077
54,Jun 15,10004
55,May 15,6922
56,Apr 15,7498
57,Mar 15,21825
58,Feb 15,3917
59,Jan 15,7171
60,Dec 14,5509
61,Nov 14,6772
62,Oct 14,5867
63,Sep 14,17865
64,Aug 14,3280
65,Jul 14,6845
