,Year,Fatalities,Injuries
0,1982,8,3
1,1983,0,0
2,1984,28,20
3,1985,0,0
4,1986,15,6
5,1987,6,14
6,1988,7,4
7,1989,15,41
8,1990,10,4
9,1991,35,26
10,1992,9,10
11,1993,23,34
12,1994,5,23
13,1995,6,0
14,1996,6,1
15,1997,9,5
16,1998,14,36
17,1999,42,47
18,2000,7,0
19,2001,5,4
20,2002,0,0
21,2003,7,8
22,2004,5,7
23,2005,17,9
24,2006,21,7
25,2007,53,32
26,2008,17,24
27,2009,39,38
28,2010,9,2
29,2011,19,21
30,2012,71,80
31,2013,35,13
32,2014,18,28
33,2015,46,43
34,2016,71,83
35,2017,117,587
36,2018,80,70
37,2019,71,109
38,2020*,5,0
