,Year,Life expectancy in years
0,2020,82.46
1,2015,81.94
2,2010,80.95
3,2005,79.6
4,2000,78.45
5,1995,77.35
6,1990,76.13
7,1985,74.77
8,1980,73.66
9,1975,72.43
10,1970,71.46
11,1965,70.75
12,1960,69.39
13,1955,67.27
14,1950,64.7
15,1945,54.12
16,1940,57.2
17,1935,57.71
18,1930,55.28
19,1925,54.38
20,1920,43.11
21,1915,44.92
22,1910,49.34
23,1905,47.98
24,1900,46.36
25,1895,44.4
26,1890,44.0
27,1885,43.3
28,1880,43.59
29,1875,40.29
30,1870,40.39
31,1865,41.41
32,1860,39.61
33,1855,39.86
34,1850,40.11
35,1845,41.46
36,1840,40.39
37,1835,37.76
38,1830,38.71
39,1825,39.15
40,1820,38.84
41,1815,33.12
42,1810,35.22
43,1805,33.13
44,1800,34.78
45,1795,27.1
46,1790,29.32
47,1785,26.77
48,1780,29.23
49,1775,27.88
50,1770,29.11
51,1765,26.95
