,Industry,Percentage of GDP
0,"Finance, insurance, real estate, rental, and leasing",20.7%
1,Professional and business services,12.6%
2,Government,12.2%
3,Manufacturing,11.4%
4,"Educational services, health care, and social assistance",8.7%
5,Wholesale trade,6%
6,Retail trade,5.5%
7,Information,5.5%
8,Construction,4.1%
9,"Arts, entertainment, recreation, accommodation, and food services",4.1%
10,Transportation and warehousing,3.2%
11,"Other services, except government",2.1%
12,Mining,1.6%
13,Utilities,1.6%
14,"Agriculture, forestry, fishing, and hunting",0.8%
