,Year,GDP per capita in U.S. dollars
0,2025,2720.44
1,2024,2623.14
2,2023,2538.87
3,2022,2393.66
4,2021,2299.88
5,2020,2187.79
6,2019,2220.82
7,2018,2216.84
8,2017,2037.95
9,2016,1941.46
10,2015,1753.85
11,2014,1962.66
12,2013,2389.77
13,2012,2184.39
14,2011,2123.65
15,2010,1745.54
16,2009,1462.8
17,2008,1677.37
18,2007,1516.05
19,2006,1315.81
20,2005,1147.6
21,2004,970.46
22,2003,858.79
23,2002,714.16
24,2001,630.33
25,2000,606.32
26,1999,1011.73
27,1998,1001.88
28,1997,945.09
29,1996,948.53
30,1995,914.59
31,1994,792.68
32,1993,883.34
33,1992,1114.47
34,1991,1154.35
35,1990,1056.15
36,1989,935.96
37,1988,941.73
38,1987,906.97
39,1986,1106.5
40,1985,1223.25
