,State,Number of accidents
0,New York,1182
1,Illinois,998
2,Texas,802
3,California,699
4,New Jersey,685
5,Pennsylvania,682
6,Indiana,311
7,Ohio,278
8,Louisiana,261
9,Georgia,253
10,Kansas,243
11,Missouri,243
12,Florida,241
13,Nebraska,224
14,Minnesota,221
15,Washington,207
16,Tennessee,200
17,Iowa,193
18,Wisconsin,188
19,Virginia,183
20,Massachusetts,181
21,Maryland,176
22,Alabama,174
23,Kentucky,166
24,North Carolina,164
25,Arkansas,164
26,Michigan,162
27,Colorado,160
28,Oklahoma,155
29,Connecticut,150
30,Montana,136
31,North Dakota,134
32,Oregon,123
33,Mississippi,120
34,West Virginia,118
35,District of Columbia,117
36,South Carolina,105
37,New Mexico,98
38,Arizona,88
39,Wyoming,67
40,Delaware,66
41,Idaho,52
42,Alaska,51
43,Utah,50
44,South Dakota,37
45,Nevada,37
46,Rhode Island,21
47,Maine,21
48,Vermont,19
49,New Hampshire,6
50,Hawaii,0
