,Year,IPSA Index in Chilean pesos
0,10/15/20,3661.72
1,10/01/20,3635.47
2,09/30/20,3637.3
3,09/15/20,3721.71
4,09/01/20,3752.95
5,08/31/20,3767.15
6,08/14/20,4017.11
7,08/03/20,3946.52
8,07/30/20,3953.3
9,07/15/20,4041.62
10,07/01/20,4037.07
11,06/30/20,3959.02
12,06/16/20,3939.79
13,06/01/20,3685.72
14,05/29/20,3647.6
15,05/15/20,3622.15
16,05/04/20,3853.27
17,04/30/20,3977.56
18,04/15/20,3854.71
19,04/07/20,3711.66
20,04/06/20,3748.47
21,04/03/20,3674.43
22,04/02/20,3559.25
23,04/01/20,3421.39
24,03/31/20,3487.49
25,03/30/20,3316.27
26,03/27/20,3228.37
27,03/26/20,3214.57
28,03/25/20,3123.13
29,03/24/20,2894.74
30,03/23/20,2897.83
31,03/20/20,3077.18
32,03/19/20,3081.43
33,03/18/20,2876.03
34,03/17/20,3271.4
35,03/16/20,3232.36
36,03/13/20,3763.57
37,03/12/20,3727.6
38,03/11/20,3979.67
39,03/10/20,4070.29
40,03/09/20,4035.54
41,03/06/20,4229.46
42,03/05/20,4324.09
43,03/04/20,4366.36
44,03/03/20,4289.4
45,03/02/20,4283.63
46,02/28/20,4122.63
47,02/27/20,4263.24
48,02/26/20,4297.7
49,02/25/20,4361.41
50,02/24/20,4430.63
51,02/21/20,4532.61
52,02/20/20,4536.05
53,02/19/20,4519.19
