,Quarter,Viewers in thousands
0,Q1 2012,56345
1,Q2 2012,56585
2,Q3 2012,56732
3,Q4 2012,56411
4,Q1 2013,56725
5,Q2 2013,56454
6,Q3 2013,55970
7,Q4 2013,56818
8,Q1 2014,57099
9,Q2 2014,56823
10,Q3 2014,56630
11,Q4 2014,57047
12,Q1 2015,56834
13,Q2 2015,55869
14,Q3 2015,56095
15,Q4 2015,56830
16,Q1 2016,56767
17,Q2 2016,56985
18,Q3 2016,57170
19,Q4 2016,57497
20,Q1 2017,56685
21,Q2 2017,56572
22,Q3 2017,55986
23,Q4 2017,57228
24,Q1 2018,56549
25,Q2 2018,57103
26,Q3 2018,56254
27,Q4 2018,57128
28,Q1 2019,55942
29,Q2 2019,55184
30,Q3 2019,54984
