,Year,Mean temperature deviation in degrees Celsius
0,2019,1.52
1,2018,1.14
2,2017,1.09
3,2016,1.0
4,2015,0.95
5,2014,1.04
6,2013,1.33
7,2012,0.24
8,2011,0.0
9,2010,0.33
10,2009,0.92
11,2008,0.45
12,2007,0.75
13,2006,0.5
14,2005,1.15
15,2004,0.53
16,2003,0.69
17,2002,0.71
18,2001,0.04
19,2000,-0.04
20,1999,0.31
21,1998,0.96
22,1997,0.3
23,1996,0.59
24,1995,0.16
25,1994,0.18
26,1993,0.3
27,1992,0.12
28,1991,0.59
29,1990,0.47
30,1989,-0.03
31,1988,0.73
32,1987,0.17
33,1986,0.21
34,1985,0.21
35,1984,-0.39
36,1983,0.33
37,1982,-0.03
38,1981,0.27
39,1980,0.73
40,1979,0.37
41,1978,-0.3
42,1977,-0.04
43,1976,-0.75
44,1975,-0.22
45,1974,-0.7
46,1973,0.53
47,1972,0.15
48,1971,-0.22
49,1970,-0.1
50,1969,-0.02
51,1968,-0.38
52,1967,-0.22
53,1966,-0.5
54,1965,0.25
55,1964,-0.22
56,1963,-0.13
57,1962,-0.11
58,1961,0.05
59,1960,-0.66
60,1959,0.23
61,1958,0.13
62,1957,0.04
63,1956,-0.92
64,1955,-0.33
65,1954,-0.36
66,1953,-0.45
67,1952,-0.43
68,1951,-0.42
69,1950,-0.6
70,1949,-0.94
71,1948,-0.46
72,1947,-0.26
73,1946,-0.72
74,1945,-0.29
75,1944,-0.39
76,1943,-0.62
77,1942,0.07
78,1941,-0.56
79,1940,-0.24
80,1939,-0.62
81,1938,0.18
82,1937,-0.36
83,1936,-0.14
84,1935,-0.49
85,1934,-0.37
86,1933,-0.46
87,1932,-0.42
88,1931,-0.59
89,1930,-0.25
90,1929,-0.87
91,1928,0.15
92,1927,-0.51
93,1926,-0.18
94,1925,-0.77
95,1924,-0.7
96,1923,-0.38
97,1922,-0.47
98,1921,-0.23
99,1920,-0.54
100,1919,-0.15
101,1918,-0.54
102,1917,-1.25
103,1916,-0.57
104,1915,0.08
105,1914,0.12
106,1913,-0.86
107,1912,-0.2
108,1911,-0.68
109,1910,-0.51
