,Country,"Number of cases per 100,000 population"
0,Montenegro,7906.85
1,Luxembourg,7642.85
2,Czechia,7011.53
3,Slovenia,6048.23
4,Georgia,5759.66
5,Belgium,5681.05
6,Armenia,5406.93
7,Switzerland,5379.58
8,Lithuania,5296.61
9,Croatia,5224.37
10,Serbia,4937.99
11,Netherlands,4745.89
12,Sweden,4591.78
13,Spain,4173.34
14,Portugal,4157.54
15,Austria,4115.4
16,North Macedonia,4045.19
17,United Kingdom,3983.34
18,France,3963.01
19,Moldova,3616.12
20,Italy,3571.01
21,Poland,3483.93
22,Slovakia,3451.09
23,Bosnia And Herzegovina,3433.45
24,Hungary,3364.98
25,Romania,3298.72
26,Denmark,2905.76
27,Bulgaria,2900.71
28,Kosovo,2889.34
29,Cyprus,2737.07
30,Malta,2650.54
31,Ukraine,2455.98
32,Russian Federation,2233.97
33,Estonia,2228.3
34,Latvia,2213.42
35,Azerbaijan,2172.42
36,Germany,2138.68
37,Belarus,2116.15
38,Ireland,2077.53
39,Albania,2076.49
40,Turkey,1728.82
41,Iceland,1611.81
42,Greece,1306.33
43,Norway,951.82
44,Finland,669.07
