,Country,Annual turnover in million euros
0,United Kingdom,48898.8
1,Germany,36901.2
2,France,29801.8
3,Italy**,27890.8
4,Spain,19932
5,Netherlands,10022.5
6,Belgium,7034.8
7,Poland,6123.7
8,Austria,5355.2
9,Sweden,5349.7
10,Ireland,3473.3
11,Norway,3530.9
12,Portugal,3414.7
13,Denmark,2736.7
14,Greece*,2598.2
15,Czechia,1911.7
16,Romania,1709.8
17,Finland**,1259.2
18,Hungary,1368.6
19,Croatia,916.5
20,Slovakia,810.9
21,Bulgaria,590
22,Luxembourg,494.5
23,Lithuania,473
24,Slovenia,429.5
25,Cyprus,420.3
26,Bosnia and Herzegovina**,318.6
27,Latvia,344.7
28,Estonia,283
29,Macedonia,-
