,Football player,Payroll in thousand U.S. dollars
0,Michael Bradley,6500.0
1,Jozy Altidore,6332.25
2,Alejandro Pozuelo Melero,3800.0
3,Omar  Gonzalez,1193.94
4,Jonathan Osorio,776.25
5,Chris Mavinga,663.33
6,Nicolas  Benezet,600.0
7,Laurent Ciman,435.63
8,Alex Bono,382.0
9,Drew Moor,375.0
10,Justin Morrow,330.0
11,Erickson  Gallardo,306.92
12,Eriq Zavaleta,296.96
13,Auro,276.67
14,Patrick  Mullins,260.0
15,Marco Delgado,253.0
16,Nick DeLeon,175.27
17,Jay Chapman,138.5
18,Griffin Dorsey,134.0
19,Ashtone Morgan,133.5
20,Ayo Akinola,124.26
21,Quentin Westberg,115.25
22,Liam Fraser,75.88
23,Tsubasa Endoh,75.58
24,Caleb Patterson-Sewell,70.88
25,Jon Bakero,70.25
26,Ryan Telfer,70.25
27,Noble Okello,68.06
28,Jacob  Shaffelburg,62.75
29,Aidan Daniels,57.23
30,Julian Dunn,57.23
31,Richie Karyea,56.25
