,Quarter,Number of customers in millions
0,Q4 '19,86.05
1,Q3 '19,84.18
2,Q2 '19,83.05
3,Q1 '19,81.3
4,Q4 '18,79.65
5,Q3 '18,77.25
6,Q2 '18,75.62
7,Q1 '18,74.04
8,Q4 '17,72.59
9,Q3 '17,70.73
10,Q2 '17,69.56
11,Q1 '17,72.6
12,Q4 '16,71.46
13,Q3 '16,69.35
14,Q2 '16,67.38
15,Q1 '16,65.5
16,Q4 '15,63.28
17,Q3 '15,61.22
18,Q2 '15,58.91
19,Q1 '15,56.84
20,Q4 '14,55.02
21,Q3 '14,52.89
22,Q2 '14,50.55
23,Q1 '14,49.08
24,Q4' 13,46.68
25,Q3' 13,45.04
26,Q2' 13*,44.02
27,Q1' 13,33.97
28,Q4' 12,33.39
29,Q3' 12,33.33
30,Q2' 12,33.17
31,Q1' 12,33.37
32,Q4' 11,33.19
33,Q3' 11,33.71
34,Q2' 11,33.59
35,Q1' 11,33.64
36,Q4' 10,33.73
37,Q3' 10,33.76
38,Q2' 10,33.62
39,Q1' 10,33.71
