,Year,Gross domestic product in billion international dollars
0,2021*,20.77
1,2020*,20.14
2,2019*,20.84
3,2018,20.73
4,2017,19.94
5,2016,19.35
6,2015,18.88
7,2014,18.46
8,2013,17.63
9,2012,16.62
10,2011,15.85
11,2010,14.71
12,2009,15.39
13,2008,14.82
14,2007,14.41
15,2006,13.58
16,2005,12.89
17,2004,12.28
18,2003,12.4
19,2002,12.13
20,2001,11.97
21,2000,11.83
22,1999,11.48
23,1998,11.01
24,1997,10.66
25,1996,10.2
26,1995,9.62
27,1994,8.57
28,1993,9.5
29,1992,9.76
30,1991,9.76
31,1990,9.32
32,1989,9.03
33,1988,8.78
34,1987,8.44
35,1986,8.27
36,1985,8.09
37,1984,7.78
