,Year,Gross domestic product in billion international dollars
0,2021*,424.73
1,2020*,392.01
2,2019,417.88
3,2018,389.14
4,2017,350.75
5,2016,318.31
6,2015,303.87
7,2014,240.36
8,2013,217.45
9,2012,210.85
10,2011,206.41
11,2010,201.51
12,2009,195.74
13,2008,204.71
14,2007,210.37
15,2006,194.57
16,2005,179.74
17,2004,164.84
18,2003,150.32
19,2002,143.22
20,2001,133.08
21,2000,123.66
22,1999,110.49
23,1998,98.57
24,1997,89.7
25,1996,79.62
26,1995,71.67
27,1994,64.06
28,1993,59.23
29,1992,56.55
30,1991,53.38
31,1990,50.8
32,1989,45.46
33,1988,41.42
34,1987,38.84
35,1986,36.57
36,1985,35.7
37,1984,33.95
