,Year,Life expectancy in years
0,2020,82.18
1,2015,81.61
2,2010,80.6
3,2005,79.33
4,2000,78.29
5,1995,77.29
6,1990,76.28
7,1985,76.01
8,1980,75.3
9,1975,74.43
10,1970,73.91
11,1965,73.47
12,1960,73.48
13,1955,72.8
14,1950,70.76
15,1945,66.31
16,1940,66.44
17,1935,65.26
18,1930,63.22
19,1925,61.77
20,1920,56.2
21,1915,58.02
22,1910,57.03
23,1905,55.45
24,1900,53.32
25,1895,50.86
26,1890,50.29
27,1885,49.87
28,1880,50.7
29,1875,48.96
30,1870,49.01
31,1865,47.28
32,1860,50.42
33,1855,49.64
34,1850,47.08
35,1845,49.22
36,1840,44.46
37,1835,45.24
38,1830,46.85
39,1825,47.29
40,1820,46.94
41,1815,40.46
42,1810,37.3
43,1805,39.54
44,1800,41.68
45,1795,41.92
46,1790,38.47
47,1785,39.1
48,1780,41.74
49,1775,35.2
50,1770,40.61
51,1765,34.99
