,Year,Gross domestic product in billion international dollars
0,2021*,181.29
1,2020*,163.59
2,2019*,158.29
3,2018*,145.53
4,2017,133.03
5,2016,121.62
6,2015,112.31
7,2014,102.13
8,2013,92.17
9,2012,82.89
10,2011,73.36
11,2010,75.53
12,2009,73.18
13,2008,70.34
14,2007,67.29
15,2006,64.39
16,2005,61.57
17,2004,58.7
18,2003,56.46
19,2002,56.2
20,2001,56.26
21,2000,54.99
22,1999,54.92
23,1998,53.28
24,1997,50.21
25,1996,46.69
26,1995,42.4
27,1994,39.33
28,1993,38.45
29,1992,37.62
30,1991,36.88
31,1990,35.66
32,1989,34.75
33,1988,32.48
34,1987,31.02
35,1986,30.42
36,1985,28.46
37,1984,26.63
