,Year,Number of tests in thousands
0,1/7/2021,4934.12
1,1/5/2021,4868.38
2,1/3/2021,4827.67
3,12/31/2020,4797.45
4,12/28/2020,4726.47
5,12/25/2020,4706.49
6,12/22/2020,4630.87
7,12/19/2020,4587.55
8,12/16/2020,4505.92
9,12/13/2020,4428.07
10,12/10/2020,4356.57
11,12/7/2020,4264.27
12,12/4/2020,4205.48
13,12/1/2020,4122.19
14,11/28/2020,4081.56
15,11/25/2020,3975.0
16,11/22/2020,3898.74
17,11/19/2020,3808.28
18,11/16/2020,3702.33
19,11/13/2020,3630.86
20,11/10/2020,3519.1
21,11/7/2020,3455.09
22,11/4/2020,3341.87
23,11/1/2020,3264.3
24,10/29/2020,3169.98
25,10/26/2020,3064.7
26,10/23/2020,3002.8
27,10/20/2020,2890.07
28,10/17/2020,2832.68
29,10/13/2020,2709.31
30,10/9/2020,2627.54
31,10/6/2020,2540.22
32,10/2/2020,2471.5
33,9/28/2020,2372.34
34,9/24/2020,2302.83
35,9/20/2020,2223.46
36,9/16/2020,2136.54
37,9/12/2020,2066.86
38,9/8/2020,1966.29
39,9/4/2020,1901.24
40,8/31/2020,1802.95
41,8/27/2020,1730.42
42,8/23/2020,1652.64
43,8/20/2020,1591.02
44,8/16/2020,1513.89
45,8/13/2020,1450.27
46,8/9/2020,1378.73
47,8/5/2020,1295.22
48,8/1/2020,1226.06
49,7/28/2020,1131.7
50,7/24/2020,1053.66
51,7/20/2020,967.19
52,7/16/2020,906.02
53,7/12/2020,847.59
54,7/8/2020,796.48
55,7/4/2020,759.04
