,Month,Market capitalization in million euros
0,Sep 2020,9020.04
1,Aug 2020,8437.84
2,Jul 2020,8470.7
3,Jun 2020,8863.0
4,May 2020,8708.59
5,Apr 2020,8882.87
6,Mar 2020,8647.83
7,Feb 2020,9015.84
8,Jan 2020,10134.8
9,Dec 2019,10365.26
10,Nov 2019,10342.81
11,Oct 2019,8910.86
12,Sep 2019,8454.11
13,Aug 2019,8835.34
14,Jul 2019,9583.45
15,Jun 2019,9690.32
16,May 2019,8462.74
17,Apr 2019,9443.63
18,Mar 2019,9183.61
19,Feb 2019,8638.12
20,Jan 2019,8378.63
21,Dec 2018,7353.85
22,Nov 2018,7376.63
23,Oct 2018,7882.23
24,Sep 2018,9590.15
25,Aug 2018,9959.7
26,Jul 2018,9583.45
27,Jun 2018,9950.18
28,May 2018,10030.43
29,Apr 2018,9549.23
30,Mar 2018,7863.82
31,Feb 2018,7320.71
32,Jan 2018,6771.44
33,Dec 2017,6681.13
34,Nov 2017,5883.52
35,Oct 2017,6198.56
36,Sep 2017,6207.28
37,Aug 2017,6057.71
38,Jul 2017,5751.88
