,Country,Number of H&M store openings
0,Total,375
1,Franchise,28
2,USA,28
3,China,21
4,Japan,15
5,UK,13
6,Sweden,12
7,Germany,11
8,Italy,10
9,Russia,10
10,France,10
11,South Korea,8
12,India,8
13,Mexico,7
14,Philippines,6
15,Netherlands,6
16,Belgium,6
17,Canada,5
18,Australia,5
19,Finland,5
20,Luxembourg,5
21,Poland,4
22,New Zealand,4
23,Spain,4
24,South Africa,4
25,Norway,3
26,Iceland,3
27,Switzerland,3
28,Colombia,3
29,Kazakhstan,3
30,Austria,3
31,Belarus,2
32,Uruguay,2
33,Malaysia,2
34,Chile,2
35,Peru,2
36,Hong Kong,2
37,Vietnam,2
38,Singapore,2
39,Slovakia,2
40,Latvia,1
41,Lithuania,1
42,Denmark,1
43,Georgia,1
44,Bosnia-Herzegovina,1
45,Turkey,1
46,Romania,1
47,Estonia,1
48,Serbia,1
49,Ukraine,1
50,Portugal,0
51,Greece,0
52,Puerto Rico,0
53,Slovenia,0
54,Hungary,0
55,Taiwan,0
56,Bulgaria,0
57,Cyprus,0
58,Macau,0
59,Croatia,0
60,Ireland,0
61,Czech Republic,0
