,Response,Share of responding businesses
0,Attracting customers,81%
1,Increasing revenue,56%
2,Tax laws and rules,53%
3,Uncertainty over economic conditions,46%
4,Maintaining profitability,38%
5,Retaining/recruiting skilled employees,32%
6,Developing new products/innovation,29%
7,Securing financing for expansion,22%
8,Selling to foreign markets,21%
9,"Other government regulations (e.g., compliance, technical regulation, patents, reporting)",19%
10,Securing financing for business as usual,14%
11,Finding/working with suppliers,14%
