,Year,Temperature departure in degrees Celsius
0,2019,0.77
1,2018,0.68
2,2017,0.72
3,2016,0.79
4,2015,0.75
5,2014,0.63
6,2013,0.53
7,2012,0.51
8,2011,0.44
9,2010,0.56
10,2009,0.54
11,2008,0.41
12,2007,0.43
13,2006,0.5
14,2005,0.51
15,2004,0.49
16,2003,0.52
17,2002,0.49
18,2001,0.46
19,2000,0.35
20,1999,0.31
21,1998,0.52
22,1997,0.47
23,1996,0.31
24,1995,0.35
25,1994,0.29
26,1993,0.25
27,1992,0.23
28,1991,0.34
29,1990,0.37
30,1989,0.27
31,1988,0.32
32,1987,0.36
33,1986,0.21
34,1985,0.18
35,1984,0.2
36,1983,0.3
37,1982,0.22
38,1981,0.25
39,1980,0.26
40,1979,0.24
41,1978,0.12
42,1977,0.19
43,1976,-0.01
44,1975,-0.04
45,1974,-0.02
46,1973,0.14
47,1972,0.11
48,1971,-0.08
49,1970,0.06
50,1969,0.18
51,1968,0.01
52,1967,-0.01
53,1966,0.01
54,1965,-0.05
55,1964,-0.11
56,1963,0.08
57,1962,0.09
58,1961,0.09
59,1960,0.07
60,1959,0.08
61,1958,0.12
62,1957,0.11
63,1956,-0.1
64,1955,-0.13
65,1954,-0.09
66,1953,0.1
67,1952,0.08
68,1951,0.02
69,1950,-0.09
70,1949,-0.08
71,1948,-0.1
72,1947,-0.07
73,1946,-0.01
74,1945,0.3
75,1944,0.32
76,1943,0.12
77,1942,0.13
78,1941,0.35
79,1940,0.2
80,1939,-0.03
81,1938,-0.1
82,1937,-0.01
83,1936,-0.12
84,1935,-0.15
85,1934,-0.13
86,1933,-0.22
87,1932,-0.17
88,1931,-0.08
89,1930,-0.11
90,1929,-0.27
91,1928,-0.2
92,1927,-0.16
93,1926,-0.1
94,1925,-0.19
95,1924,-0.24
96,1923,-0.24
97,1922,-0.24
98,1921,-0.17
99,1920,-0.18
100,1919,-0.21
101,1918,-0.21
102,1917,-0.29
103,1916,-0.26
104,1915,-0.1
105,1914,-0.17
106,1913,-0.32
107,1912,-0.28
108,1911,-0.43
109,1910,-0.42
110,1909,-0.45
111,1908,-0.43
112,1907,-0.29
113,1906,-0.22
114,1905,-0.25
115,1904,-0.46
116,1903,-0.37
117,1902,-0.24
118,1901,-0.16
119,1900,-0.05
120,1899,-0.13
121,1898,-0.22
122,1897,-0.03
123,1896,0.0
124,1895,-0.17
125,1894,-0.27
126,1893,-0.24
127,1892,-0.23
128,1891,-0.15
129,1890,-0.29
130,1889,-0.02
131,1888,-0.05
132,1887,-0.23
133,1886,-0.17
134,1885,-0.17
135,1884,-0.14
136,1883,-0.04
137,1882,0.0
138,1881,0.01
139,1880,-0.02
