,List of jobs,Divorce rate
0,Maids and housekeeping cleaners,26.38%
1,Roofers,26.85%
2,Waiters/Waitresses,27.12%
3,Telemarketers,28.1%
4,Baggage porters and concierges,28.49%
5,"Entertainers and performers, sports and related workers",28.49%
6,"Nursing, psychiatric and home health aides",28.95%
7,Telephone operators,29.3%
8,Factory workers: Food & Tobacco,29.78%
9,Gaming service worker,31.35%
10,Extruding machine operator,32.74%
11,Gaming cage worker,34.66%
12,Massage therapists,38.22%
13,Bartenders,38.43%
14,Dancers & Choreographers,43.05%
