,State,Ethanol consumption in thousand gallons
0,Alabama,8039
1,Alaska,1687
2,Arizona,13300
3,Arkansas,4390
4,California,81206
5,Colorado,13587
6,Connecticut,7260
7,Delaware,2853
8,District of Columbia,2248
9,Florida,47092
10,Georgia,16359
11,Hawaii,3135
12,Idaho,4146
13,Illinois,25167
14,Indiana,11786
15,Iowa,6196
16,Kansas,4547
17,Kentucky,7208
18,Louisiana,9709
19,Maine,3272
20,Maryland,10405
21,Massachusetts,14954
22,Michigan,19722
23,Minnesota,12818
24,Mississippi,5306
25,Missouri,12698
26,Montana,2744
27,Nebraska,3356
28,Nevada,8542
29,New Hampshire,5432
30,New Jersey,17460
31,New Mexico,3902
32,New York,36279
33,North Carolina,18651
34,North Dakota,1951
35,Ohio,19675
36,Oklahoma,5924
37,Oregon,9616
38,Pennsylvania,25225
39,Rhode Island,2372
40,South Carolina,9136
41,South Dakota,1685
42,Tennessee,12006
43,Texas,51815
44,Utah,3281
45,Vermont,1650
46,Virginia,15093
47,Washington,13870
48,West Virginia,2653
49,Wisconsin,14178
50,Wyoming,1311
