,Quarter,House price in thousand GBP
0,Q1 '20,217911.0
1,Q4 '19,215925.0
2,Q3 '19,216805.0
3,Q2 '19,215910.0
4,Q1 '19,212694.0
5,Q4 '18,214178.0
6,Q3 '18,216103.0
7,Q2 '18,214578.0
8,Q1 '18,211792.0
9,Q4 '17,211.43
10,Q3 '17,211.67
11,Q2 '17,209.97
12,Q1 '17,206.67
13,Q4 '16,205.94
14,Q3 '16,206.35
15,Q2 '16,204.24
16,Q1 '16,198.56
17,Q4 '15,197.04
18,Q3 '15,195.73
19,Q2 '15,194.26
20,Q1 '15,188.57
21,Q4 '14,189.0
22,Q3 '14,188.81
23,Q2 '14,186.54
24,Q1 '14,178.12
25,Q4 '13,174.44
26,Q3 '13,170.92
27,Q2 '13,167.29
28,Q1 '13,163.06
29,Q4 '12,162.92
30,Q3 '12,163.91
31,Q2 '12,164.96
32,Q1 '12,162.72
33,Q4 '11,164.79
34,Q3 '11,166.6
35,Q2 '11,166.76
36,Q1 '11,162.38
