,Month,Market (transfer) value in million euros
0,Jadon Sancho (Borussia Dortmund),100
1,Phlippe Coutinho (FC Bayern München),90
2,Kai Havertz (Bayer 04 Leverkusen),90
3,Joshua Kimmich (FC Bayern München),70
4,Thiago (FC Bayern München),70
5,Lucas Hernández (FC Bayern München),70
6,Timo Werner (RB Leipzig),65
7,Robert Lewandowski (FC Bayern München),65
8,Niklas Süle (FC Bayern München),60
9,Serge Gnabry (FC Bayern München),60
10,David Alaba (FC Bayern München),55
11,Julian Brandt (Bayer 04 Leverkusen),50
12,Kingsley Coman (FC Bayern München),50
13,Marco Reus (Borussia Dortmund),50
14,Leon Goretzka (FC Bayern München),50
15,Ibrahima Konaté  (RB Leizpig),45
16,Leon Bailey (Bayer Leverkusen),40
17,Jonathan Tah (Bayer Leverkusen),40
18,Corentin Tolisso (FC Bayern München),40
19,Manuel Akanji (Borussia Dortmund),40
20,Andrej Kramaric (TSG Hoffenheim),38
21,Thorgan Hazard (Borussia Dortmund),38
22,Paco Alcácer (Borussia Dortmund),37
23,Mat Hummels (Borussia Dortmund),35
24,Thomas Müller (FC Bayern München),35
