,State,Number of units
0,California,7281
1,New York,5719
2,Texas,5200
3,Florida,4838
4,Pennsylvania,4633
5,Ohio,3740
6,New Jersey,3161
7,Michigan,2718
8,Massachusetts,2312
9,North Carolina,2235
10,Indiana,1941
11,Virginia,1928
12,Georgia,1911
13,Missouri,1522
14,Tennessee,1441
15,Maryland,1413
16,Washington,1382
17,Arizona,1344
18,Minnesota,1314
19,Connecticut,1302
20,Wisconsin,1266
21,Colorado,1170
22,Iowa,1091
23,Kentucky,1086
24,South Carolina,1052
25,Oklahoma,895
26,Oregon,878
27,Alabama,844
28,Louisiana,758
29,Kansas,742
30,Arkansas,718
31,Nevada,681
32,Utah,593
33,West Virginia,559
34,Mississippi,535
35,Nebraska,456
36,New Hampshire,454
37,Idaho,401
38,Rhode Island,379
39,New Mexico,367
40,Maine,339
41,Delaware,329
42,Montana,273
43,South Dakota,248
44,North Dakota,206
45,Hawaii,202
46,Vermont,165
47,Washington DC,153
48,Alaska,147
49,Wyoming,138
