,Month,Requests in millions
0,Jan 19,356
1,Mar 18,315
2,Feb 18,285
3,Jan 18,328
4,Dec 17,327
5,Sep 17,239
6,Jul 17,236
7,Jun 17,256
8,May 17,271
9,Apr 17,274
10,Mar 17,298
11,Feb 17,277
12,Jan 17,304
13,Dec 16,351
14,Nov 16,350
15,Oct 16,351
16,Sep 16,310
17,Aug 16,321
18,Jul 16,300
19,Jun 16,290
20,May 16,273
21,Apr 16,286
22,Mar 16,308
23,Feb 16,298
24,Jan 16,315
25,Dec 15,309
26,Nov 15,310
27,Oct 15,313
28,Sep 15,334
29,Aug 15,278
30,Jul 15,258
31,Jun 15,251
32,May 15,280
33,Apr 15,275
34,Mar 15,281
35,Feb 15,315
36,Jan 15,352
37,Dec 14,337
38,Nov 14,336
39,Oct 14,320
40,Sep 14,261
41,Aug 14,247
42,Jul 14,237
43,Jun 14,264
44,May 14,276
45,Apr 14,269
46,Mar 14,322
47,Feb 14,302
48,Jan 14,316
