,Year,Gross domestic product in billion U.S. dollars
0,2024*,746.02
1,2023*,707.26
2,2022*,670.15
3,2021*,635.05
4,2020*,603.03
5,2019*,586.1
6,2018,589.91
7,2017,574.9
8,2016,531.36
9,2015,525.6
10,2014,530.52
11,2013,511.6
12,2012,495.92
13,2011,485.67
14,2010,446.14
15,2009,392.11
16,2008,417.04
17,2007,408.22
18,2006,388.55
19,2005,375.79
20,2004,348.52
21,2003,318.6
22,2002,308.88
23,2001,300.42
24,2000,331.41
25,1999,304.17
26,1998,280.41
27,1997,303.71
28,1996,292.69
29,1995,279.27
30,1994,256.44
31,1993,235.17
32,1992,223.12
33,1991,187.35
34,1990,166.85
35,1989,152.73
36,1988,126.46
37,1987,105.04
38,1986,78.23
39,1985,63.64
40,1984,61.09
