,Year,COLCAP Index in Colombian pesos
0,10/15/20,1166.01
1,10/01/20,1162.36
2,09/30/20,1171.92
3,09/15/20,1193.71
4,09/01/20,1255.76
5,08/31/20,1216.03
6,08/14/20,1153.28
7,08/03/20,1133.1
8,07/30/20,1164.66
9,07/15/20,1144.85
10,07/01/20,1109.91
11,06/30/20,1111.8
12,06/16/20,1154.63
13,06/01/20,1117.02
14,05/29/20,1095.84
15,05/15/20,1053.75
16,05/04/20,1105.43
17,04/30/20,1142.04
18,04/15/20,1204.01
19,04/07/20,1163.43
20,04/06/20,1160.12
21,04/03/20,1127.55
22,04/02/20,1114.43
23,04/01/20,1063.03
24,03/31/20,1123.85
25,03/30/20,1129.18
26,03/27/20,1147.54
27,03/26/20,1167.04
28,03/25/20,1046.18
29,03/24/20,923.53
30,03/20/20,919.59
31,03/19/20,899.75
32,03/18/20,894.03
33,03/17/20,1000.5
34,03/16/20,997.78
35,03/13/20,1174.31
36,03/12/20,1174.31
37,03/11/20,1295.46
38,03/10/20,1360.21
39,03/09/20,1344.6
40,03/06/20,1502.84
41,03/05/20,1546.66
42,03/04/20,1544.53
43,03/03/20,1512.61
44,03/02/20,1536.48
45,02/28/20,1549.61
46,02/27/20,1556.69
47,02/26/20,1589.74
48,02/25/20,1612.48
49,02/24/20,1622.66
50,02/21/20,1631.45
51,02/20/20,1669.6
52,02/19/20,1676.29
