,Quarter,Unemployment rate
0,Q3 '20,30.7%
1,Q2 '20,28%
2,Q1 '20,28.4%
3,Q4 '19,28%
4,Q3 '19,27.7%
5,Q2 '19,28.4%
6,Q1 '19,33.2%
7,Q4 '18,34.1%
8,Q3 '18,29.2%
9,Q2 '18,31.6%
10,Q1 '18,33.8%
11,Q4 '17,35.2%
12,Q3 '17,32.3%
13,Q2 '17,34.2%
14,Q1 '17,37.3%
15,Q4 '16,40.7%
16,Q3 '16,34.5%
17,Q2 '16,35.5%
18,Q1 '16,40.3%
19,Q4 '15,40%
20,Q3 '15,35.3%
21,Q2 '15,41.1%
22,Q1 '15,44.9%
23,Q4 '14,43.3%
24,Q3 '14,39.6%
25,Q2 '14,41.6%
26,Q1 '14,46.2%
27,Q4 '13,43.5%
28,Q3 '13,37.3%
29,Q2 '13,37.3%
30,Q1 '13,41.9%
