,Year,Inflation rate compared to previous year
0,2025*,1.9%
1,2024*,0.19%
2,2023*,0.2%
3,2022*,0.2%
4,2021*,0.21%
5,2020*,0.21%
6,2019,0.21%
7,2018,0.21%
8,2017,0.22%
9,2016,0.21%
10,2015,0.21%
11,2014,1.21%
12,2013,2.22%
13,2012,3.16%
14,2011,3.32%
15,2010,1.69%
16,2009,1.63%
17,2008,3.92%
18,2007,1.58%
19,2006,1.28%
20,2005,0.77%
21,2004,0.15%
22,2003,1.29%
23,2002,2.01%
24,2001,2.67%
25,2000,2.95%
26,1999,1.31%
27,1998,1.35%
28,1997,1.22%
29,1996,1.06%
30,1995,0.4%
31,1994,1.61%
32,1993,3.33%
33,1992,3.25%
34,1991,4.55%
35,1990,4.96%
36,1989,6.57%
37,1988,5.14%
38,1987,4.08%
39,1986,2.9%
40,1985,5.82%
