,Year,Inflation rate
0,2024*,1.99%
1,2023*,2.15%
2,2022*,2.15%
3,2021*,2%
4,2020*,2.03%
5,2019*,2.01%
6,2018,2.24%
7,2017,1.6%
8,2016,1.44%
9,2015,1.12%
10,2014,1.92%
11,2013,0.93%
12,2012,1.53%
13,2011,2.89%
14,2010,1.77%
15,2009,0.3%
16,2008,2.39%
17,2007,2.13%
18,2006,2.02%
19,2005,2.23%
20,2004,1.84%
21,2003,2.74%
22,2002,2.28%
23,2001,2.51%
24,2000,2.74%
25,1999,1.74%
26,1998,0.99%
27,1997,1.61%
28,1996,1.58%
29,1995,2.19%
30,1994,0.14%
31,1993,1.87%
32,1992,1.49%
33,1991,5.62%
34,1990,4.77%
35,1989,5%
36,1988,4.02%
37,1987,4.37%
38,1986,4.17%
39,1985,3.95%
40,1984,4.34%
