,State,COPD prevalence
0,Alabama,10.1%
1,Alaska,6.3%
2,Arizona,5.9%
3,Arkansas,9.3%
4,California,4.4%
5,Colorado,4.2%
6,Connecticut,5.3%
7,Delaware,7.3%
8,District of Columbia,5.8%
9,Florida,7.1%
10,Georgia,6.8%
11,Hawaii,3.4%
12,Idaho,4.7%
13,Illinois,6.4%
14,Indiana,8%
15,Iowa,5.9%
16,Kansas,6.2%
17,Kentucky,11.3%
18,Louisiana,8.4%
19,Maine,6.5%
20,Maryland,5.4%
21,Massachusetts,5%
22,Michigan,8%
23,Minnesota,4%
24,Mississippi,7.5%
25,Missouri,7.9%
26,Montana,5.7%
27,Nebraska,5.3%
28,Nevada,6.5%
29,New Hampshire,6%
30,New Jersey,5.8%
31,New Mexico,5.6%
32,New York,5%
33,North Carolina,7.3%
34,North Dakota,4.8%
35,Ohio,7.6%
36,Oklahoma,8.1%
37,Oregon,4.9%
38,Pennsylvania,5.9%
39,Rhode Island,7%
40,South Carolina,7.2%
41,South Dakota,4.4%
42,Tennessee,8.9%
43,Texas,4.8%
44,Total,6.2%
45,Utah,4.1%
46,Vermont,5.7%
47,Virginia,6.6%
48,Washington,5.4%
49,West Virginia,13.8%
50,Wisconsin,4.7%
51,Wyoming,6.1%
