,county of New York,"Number of cases per 100,000 people"
0,"Trousdale, Tenn.",14593
1,"Lake, Tenn.",9620
2,"Dakota, Neb.",8466
3,"Nobles, Minn.",7313
4,"Lincoln, Ark.",7192
5,"Buena Vista, Iowa",6027
6,"Colfax, Neb.",5911
7,"Ford, Kan.",5382
8,"Texas, Okla.",4484
9,"Bledsoe, Tenn.",4198
10,"Cass, Ind.",4191
11,"Finney, Kan.",4156
12,"Marion, Ohio",4123
13,"Rockland, N.Y.",4121
14,"Seward, Kan.",3966
15,"Moore, Texas",3908
16,"McKinley, N.M.",3769
17,"Pickaway, Ohio",3671
18,"Echols, Ga.",3655
19,"Saline, Neb.",3625
20,"Dawson, Neb.",3541
21,"Westchester, N.Y.",3509
22,"Crawford, Iowa",3362
23,"Richmond, Va.",3300
24,"Passaic, N.J.",3266
25,"Jones, Texas",3202
26,"Louisa, Iowa",3119
27,"Nassau, N.Y.",3018
28,"Manassas, Va.",3010
29,"Accomack, Va.",3002
30,"Union, N.J.",2937
31,"Logan, Colo.",2909
32,"Lowndes, Ala.",2872
33,"St. Francis, Ark.",2871
34,"Woodbury, Iowa",2870
35,"Buckingham, Va.",2829
36,"Orange, N.Y.",2786
37,"Hudson, N.J.",2779
38,"East Carroll, La.",2754
39,"Suffolk, N.Y.",2714
40,"Neshoba, Miss.",2628
41,"Liberty, Fla.",2606
42,"Walker, Texas",2587
43,"Randolph, Ga.",2582
44,"Hall, Neb.",2554
45,"Holmes, Miss.",2550
46,"New York City, N.Y.",2512
47,"Terrell, Ga.",2449
48,"Tama, Iowa",2433
49,"Apache, Ariz.",2422
