,Month,Number of new cases
0,Jan 3,54990
1,Jan 2,57725
2,Jan 1,53285
3,Dec 31,55892
4,Dec 30,50023
5,Dec 29,53135
6,Dec 28,41385
7,Dec 27,30501
8,Dec 26,35691
9,Dec 25,32725
10,Dec 24,39877
11,Dec 23,39237
12,Dec 22,36804
13,Dec 21,33364
14,Dec 20,35928
15,Dec 19,27052
16,Dec 18,28507
17,Dec 17,35383
18,Dec 16,25161
19,Dec 15,18450
20,Dec 14,20263
21,Dec 13,18447
22,Dec 12,21502
23,Dec 11,21672
24,Dec 10,20964
25,Dec 9,16578
26,Dec 8,12282
27,Dec 7,14718
28,Dec 6,17272
29,Dec 5,15539
30,Dec 4,16298
31,Dec 3,14879
32,Dec 2,16170
33,Dec 1,13430
34,Nov 30,12330
35,Nov 29,12155
36,Nov 28,15871
37,Nov 27,16022
38,Nov 26,17555
39,Nov 25,18213
40,Nov 24,11299
41,Nov 23,15450
42,Nov 22,18662
43,Nov 21,19875
44,Nov 20,20252
45,Nov 19,22915
46,Nov 18,19609
47,Nov 17,20051
48,Nov 16,21363
49,Nov 15,24962
50,Nov 14,26860
51,Nov 13,27301
52,Nov 12,33470
53,Nov 11,22950
54,Nov 10,20412
55,Nov 9,21350
56,Nov 8,20572
57,Nov 7,24957
58,Nov 6,23287
59,Nov 5,24141
60,Nov 4,25177
61,Nov 3,20018
62,Nov 2,18950
63,Nov 1,23254
64,Oct 31,21915
65,Oct 30,24405
66,Oct 29,23065
67,Oct 28,24701
68,Oct 27,22885
69,Oct 26,20890
70,Oct 25,19790
71,Oct 24,23012
72,Oct 23,20530
73,Oct 22,21242
74,Oct 21,26688
75,Oct 20,21331
76,Oct 19,18804
77,Oct 18,16982
78,Oct 17,16171
79,Oct 16,15650
80,Oct 15,18980
81,Oct 14,19724
82,Oct 13,17234
83,Oct 12,13972
84,Oct 11,12872
85,Oct 10,15166
86,Oct 9,13864
87,Oct 8,17540
88,Oct 7,14162
89,Oct 6,14542
90,Oct 5,12594
91,Oct 4,22961
92,Oct 3,12872
93,Oct 2,6968
94,Oct 1,6914
95,Sep 30,7108
96,Sep 29,7143
97,Sep 28,4044
98,Sep 27,5693
99,Sep 26,6042
100,Sep 25,6874
101,Sep 24,6634
102,Sep 23,6178
103,Sep 22,4926
104,Sep 21,4368
105,Sep 20,3899
106,Sep 19,4422
107,Sep 18,4322
108,Sep 17,3395
109,Sep 16,3991
110,Sep 15,3105
111,Sep 14,2621
112,Sep 13,3330
113,Sep 12,3497
114,Sep 11,3539
115,Sep 10,2919
116,Sep 9,2659
117,Sep 8,2460
118,Sep 7,2948
119,Sep 6,2988
120,Sep 5,1813
121,Sep 4,1940
122,Sep 3,1735
123,Sep 2,1508
124,Sep 1,1295
125,Aug 31,1406
126,Aug 30,1715
127,Aug 29,1108
128,Aug 28,1276
129,Aug 27,1522
130,Aug 26,1048
131,Aug 25,1184
132,Aug 24,853
133,Aug 23,1160
134,Aug 22,1288
135,Aug 21,1033
136,Aug 20,1182
137,Aug 19,812
138,Aug 18,1089
139,Aug 17,713
140,Aug 16,1040
141,Aug 15,1077
142,Aug 14,1441
143,Aug 13,1129
144,Aug 12,1009
145,Aug 11,1148
146,Aug 10,816
147,Aug 9,1062
148,Aug 8,758
149,Aug 7,871
150,Aug 6,950
151,Aug 5,892
152,Aug 4,670
153,Aug 3,938
154,Aug 2,744
155,Aug 1,771
156,Jul 31,880
157,Jul 30,846
158,Jul 29,763
159,Jul 28,581
160,Jul 27,685
161,Jul 26,747
162,Jul 25,767
163,Jul 24,768
164,Jul 23,769
165,Jul 22,560
166,Jul 21,445
167,Jul 20,580
168,Jul 19,726
169,Jul 18,827
170,Jul 17,687
171,Jul 16,642
172,Jul 15,538
173,Jul 14,398
174,Jul 13,530
175,Jul 12,650
176,Jul 11,820
177,Jul 10,512
178,Jul 9,642
179,Jul 8,630
180,Jul 7,581
181,Jul 6,343
182,Jul 5,516
183,Jul 4,624
184,Jul 3,544
185,Jul 2,576
186,Jul 1,829
187,Jun 30,689
188,Jun 29,815
189,Jun 28,901
190,Jun 27,890
191,Jun 26,1006
192,Jun 25,1118
193,Jun 24,653
194,Jun 23,874
195,Jun 22,958
196,Jun 21,1221
197,Jun 20,1295
198,Jun 19,1346
199,Jun 18,1218
200,Jun 17,1115
201,Jun 16,1279
202,Jun 15,1056
203,Jun 14,1514
204,Jun 13,1425
205,Jun 12,1541
206,Jun 11,1266
207,Jun 10,1003
208,Jun 9,1387
209,Jun 8,1205
210,Jun 7,1326
211,Jun 6,1557
212,Jun 5,1650
213,Jun 4,1805
214,Jun 3,1871
215,Jun 2,1653
216,Jun 1,1570
217,May 31,1936
218,May 30,2445
219,May 29,2095
220,May 28,1887
221,May 27,2013
222,May 26,2004
223,May 25,1625
224,May 24,2409
225,May 23,2959
226,May 22,3287
227,May 21,2615
228,May 20,2472
229,May 19,2412
230,May 18,2684
231,May 17,3562
232,May 16,3451
233,May 15,3560
234,May 14,3446
235,May 13,3242
236,May 12,3403
237,May 11,3877
238,May 10,3923
239,May 9,3896
240,May 8,4649
241,May 7,5614
242,May 6,6111
243,May 5,4406
244,May 4,3985
245,May 3,4339
246,May 2,4806
247,May 1,6201
248,Apr 30,6032
249,Apr 29,4076
250,Apr 28,3996
251,Apr 27,4310
252,Apr 26,4463
253,Apr 25,4913
254,Apr 24,5386
255,Apr 23,4583
256,Apr 22,4451
257,Apr 21,4301
258,Apr 20,4676
259,Apr 19,5850
260,Apr 18,5526
261,Apr 17,5599
262,Apr 16,4618
263,Apr 15,4605
264,Apr 14,5252
265,Apr 13,4342
266,Apr 12,5288
267,Apr 11,5234
268,Apr 10,5706
269,Apr 9,4675
270,Apr 8,5865
271,Apr 7,3888
272,Apr 6,4143
273,Apr 5,6199
274,Apr 4,4000
275,Apr 3,4672
276,Apr 2,4522
277,Apr 1,4567
278,Mar 31,3250
279,Mar 30,2665
