,Year,Number of personnel
0,2020,145.32
1,2019,144.43
2,2018,146.56
3,2017,149.37
4,2016,151.0
5,2015,153.72
6,2014,159.63
7,2013,170.71
8,2012,179.8
9,2011,186.4
10,2010,191.7
11,2009,188.4
12,2008,187.1
13,2007,190.4
14,2006,195.9
15,2005,201.1
16,2004,207.0
17,2003,206.9
18,2002,204.7
19,2001,205.6
20,2000,207.6
21,1999,208.6
22,1998,210.1
23,1997,210.8
24,1996,221.9
25,1995,233.3
26,1994,254.5
27,1993,274.8
28,1992,293.4
29,1991,298.1
30,1990,305.8
31,1989,311.6
32,1988,316.9
33,1987,319.8
34,1986,322.5
35,1985,326.2
36,1984,325.9
37,1983,320.6
38,1982,327.6
39,1981,333.8
40,1980,320.6
41,1979,315.0
42,1978,320.7
43,1977,330.5
44,1976,336.6
45,1975,338.4
46,1974,349.3
47,1973,367.0
48,1972,371.4
49,1971,368.0
50,1970,373.0
51,1969,383.0
52,1968,395.8
53,1967,406.6
54,1966,409.5
55,1965,414.6
56,1964,416.7
57,1963,417.5
58,1962,434.0
59,1961,457.5
60,1960,521.1
61,1959,566.5
62,1958,615.5
63,1957,703.9
64,1956,762.3
65,1955,804.7
66,1954,840.1
67,1953,868.0
68,1952,871.7
69,1951,823.8
70,1950,696.4
71,1949,759.5
72,1948,830.0
73,1947,1255.0
74,1946,1937.8
75,1945,4906.4
76,1944,4691.1
77,1943,4452.8
78,1942,3880.8
79,1941,3285.4
80,1940,1812.6
81,1939,1068.85
82,1938,384.8
83,1937,352.4
84,1936,339.3
85,1935,320.8
86,1934,317.4
87,1933,316.4
88,1932,316.8
89,1931,319.1
90,1930,317.3
91,1929,325.6
92,1928,330.7
93,1927,339.3
94,1926,341.0
95,1925,342.3
96,1924,339.3
97,1923,334.7
98,1922,368.0
99,1921,438.5
100,1920,597.7
101,1919,1604.7
102,1918,4583.3
103,1917,4333.0
104,1916,3834.8
105,1915,2825.8
106,1914,1478.4
107,1913,393.3
108,1912,389.8
109,1911,388.3
110,1910,383.7
111,1909,381.4
112,1908,379.3
113,1907,376.5
114,1906,392.1
115,1905,401.1
116,1904,418.3
117,1903,451.8
118,1902,520.2
119,1901,539.8
120,1900,416.4
