,city of the United States,Per capita income in U.S. dollars
0,"San Jose-Sunnyvale-Santa Clara, CA",61400
1,"San Francisco-Oakland-Berkeley, CA",60223
2,"Bridgeport-Stamford-Norwalk, CT",58815
3,"Washington-Arlington-Alexandria, DC-VA-MD-WV",51437
4,"Boulder, CO",51415
5,"Boston-Cambridge-Newton, MA-NH",50421
6,"Barnstable Town, MA",50384
7,"Seattle-Tacoma-Bellevue, WA",49184
8,"Napa, CA",47729
9,"Naples-Marco Island, FL",47433
10,"Santa Cruz-Watsonville, CA",46714
11,"New York-Newark-Jersey City, NY-NJ-PA",46241
12,"Santa Rosa-Petaluma, CA",46006
13,"Denver-Aurora-Lakewood, CO",44806
14,"Ocean City, NJ",43852
15,"Ann Arbor, MI",43714
16,"Baltimore-Columbia-Towson, MD",43139
17,"Charlottesville, VA",42734
18,"Minneapolis-St. Paul-Bloomington, MN-WI",42681
19,"Trenton-Princeton, NJ",42338
20,"Hartford-East Hartford-Middletown, CT",41991
21,"Austin-Round Rock-Georgetown, TX",41957
22,"Manchester-Nashua, NH",41779
23,"Hilton Head Island-Bluffton, SC",41421
24,"California-Lexington Park, MD",41402
25,"Madison, WI",41254
26,"Rochester, MN",40989
27,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",40930
28,"Norwich-New London, CT",40584
29,"Fort Collins, CO",40582
30,"Portland-Vancouver-Hillsboro, OR-WA",40526
31,"San Diego-Chula Vista-Carlsbad, CA",40389
32,"Oxnard-Thousand Oaks-Ventura, CA",40293
33,"Raleigh-Cary, NC",40209
34,"Portland-South Portland, ME",40148
35,"Chicago-Naperville-Elgin, IL-IN-WI",40144
36,"Cheyenne, WY",39791
37,"North Port-Sarasota-Bradenton, FL",39643
38,"Reno, NV",39619
39,"Poughkeepsie-Newburgh-Middletown, NY",39492
40,"Fairbanks, AK",39252
41,"The Villages, FL",39187
42,"Bremerton-Silverdale-Port Orchard, WA",39068
43,"Iowa City, IA",38843
44,"Anchorage, AK",38842
45,"Santa Maria-Santa Barbara, CA",38805
46,"Albany-Schenectady-Troy, NY",38497
47,"Burlington-South Burlington, VT",38497
48,"Urban Honolulu, HI",38461
49,"Pittsburgh, PA",38400
