,Quarter,Expenditure in million GBP
0,Q1 2020,434
1,Q4 2019,402
2,Q3 2019,404
3,Q2 2019,379
4,Q1 2019,376
5,Q4 2018,395
6,Q3 2018,382
7,Q2 2018,372
8,Q1 2018,365
9,Q4 2017,371
10,Q3 2017,374
11,Q2 2017,366
12,Q1 2017,375
13,Q4 2016,374
14,Q3 2016,364
15,Q2 2016,340
16,Q1 2016,305
17,Q4 2015,274
18,Q3 2015,267
19,Q2 2015,278
20,Q1 2015,290
21,Q4 2014,308
22,Q3 2014,319
23,Q2 2014,327
24,Q1 2014,331
25,Q4 2013,318
26,Q3 2013,312
27,Q2 2013,316
28,Q1 2013,314
29,Q4 2012,361
30,Q3 2012,370
31,Q2 2012,371
32,Q1 2012,367
33,Q4 2011,354
34,Q3 2011,346
35,Q2 2011,348
36,Q1 2011,349
