,State,Number of votes
0,California,13038547
1,Florida,8474179
2,Texas,7993851
3,New York,7061925
4,Pennsylvania,5753670
5,Ohio,5580822
6,Illinois,5242014
7,Michigan,4730961
8,North Carolina,4505372
9,Georgia,3900050
10,Virginia,3854490
11,New Jersey,3638499
12,Massachusetts,3167767
13,Washington,3125516
14,Wisconsin,3071434
15,Minnesota,2936561
16,Missouri,2757323
17,Maryland,2707327
18,Indiana,2624534
19,Colorado,2569520
20,Tennessee,2458577
21,Arizona,2299254
22,Alabama,2074338
23,Louisiana,1994065
24,South Carolina,1964118
25,Kentucky,1797212
26,Oregon,1789270
27,Iowa,1582180
28,Connecticut,1558960
29,Oklahoma,1334872
30,Mississippi,1285584
31,Kansas,1159971
32,Arkansas,1069468
33,Utah,1017440
34,Nevada,1014918
35,Nebraska,794379
36,New Mexico,783758
37,Maine,713180
38,New Hampshire,710972
39,West Virginia,670438
40,Idaho,652274
41,Montana,484048
42,Rhode Island,446049
43,Hawaii,434697
44,Delaware,413921
45,South Dakota,363815
46,North Dakota,322932
47,Alaska,300495
48,Vermont,299290
49,District of Columbia,293764
50,Wyoming,249061
