,State,"Number of deaths per 10,000 population"
0,Bronx,24.9
1,Rockland,23.9
2,Queens,23.7
3,Kings (Brooklyn),21.2
4,New York City total,21.0
5,Richmond (Staten Island),18.9
6,Nassau,17.9
7,Westchester,17.4
8,Allegany,15.9
9,Suffolk,15.9
10,Orleans,15.8
11,Orange,15.6
12,Steuben,14.5
13,New York (Manhattan),13.9
14,Erie,13.5
15,Tioga,13.2
16,Chemung,11.8
17,Oneida,11.7
18,Seneca,11.4
19,Broome,11.1
20,Montgomery,10.7
21,Onondaga,10.2
22,Columbia,10.2
23,Genesee,9.9
24,Madison,9.7
25,Cortland,9.4
26,Niagara,9.0
27,Dutchess,8.5
28,Ulster,8.3
29,Monroe,8.1
30,Sullivan,7.5
31,Albany,7.5
32,Fulton,7.1
33,Putnam,6.8
34,Wyoming,6.5
35,Cattaraugus,6.5
36,Lewis,6.4
37,Warren,6.1
38,Ontario,6.1
39,Greene,6.1
40,Schenectady,5.9
41,Rensselaer,5.7
42,Schuyler,5.6
43,Yates,5.2
44,Chenango,5.0
45,Herkimer,5.0
46,Wayne,4.7
47,St. Lawrence,4.3
48,Essex,4.3
49,Livingston,4.1
50,Cayuga,4.1
51,Oswego,3.7
52,Otsego,2.8
53,Chautauqua,2.8
54,Delaware,2.7
55,Washington,2.6
56,Hamilton,2.3
57,Saratoga,2.1
58,Franklin,1.8
59,Schoharie,1.6
60,Tompkins,1.5
61,Jefferson,1.2
62,Clinton,1.0
