,Year,Number of confirmed cases
0,"5 Jan, 21",1982544
1,"4 Jan, 21",1958844
2,31 Dec,1928265
3,30 Dec,1910218
4,29 Dec,1893502
5,28 Dec,1879413
6,24 Dec,1854951
7,23 Dec,1842289
8,22 Dec,1829903
9,21 Dec,1819249
10,18 Dec,1797236
11,17 Dec,1785421
12,16 Dec,1773290
13,15 Dec,1762212
14,14 Dec,1751884
15,11 Dec,1730575
16,10 Dec,1720056
17,9 Dec,1712101
18,7 Dec,1702328
19,4 Dec,1684647
20,3 Dec,1675902
21,2 Dec,1665775
22,1 Dec,1656444
23,30 Nov,1648187
24,27 Nov,1628208
25,26 Nov,1617355
26,25 Nov,1605066
27,24 Nov,1594844
28,23 Nov,1582616
29,20 Nov,1556730
30,19 Nov,1541574
31,18 Nov,1525341
32,17 Nov,1510023
33,16 Nov,1496864
34,13 Nov,1458591
35,12 Nov,1437220
36,11 Nov,1417709
37,10 Nov,1398613
38,9 Nov,1381218
39,6 Nov,1328832
40,5 Nov,1306316
41,4 Nov,1284408
42,3 Nov,1259366
43,2 Nov,1240697
44,30 Oct,1185678
45,29 Oct,1160083
46,28 Oct,1136503
47,27 Oct,1116738
48,26 Oct,1098320
49,23 Oct,1046132
50,22 Oct,1026281
51,21 Oct,1005295
52,20 Oct,988322
53,19 Oct,974449
54,16 Oct,936560
55,15 Oct,921374
56,14 Oct,908056
57,13 Oct,896086
58,12 Oct,888968
59,9 Oct,861112
60,8 Oct,848324
61,7 Oct,835901
62,6 Oct,825410
63,5 Oct,813412
64,2 Oct,789932
65,1 Oct,778607
66,30 Sep,769188
67,29 Sep,758172
68,28 Sep,748266
69,25 Sep,716481
70,24 Sep,704209
71,23 Sep,693556
72,22 Sep,682267
73,21 Sep,671468
74,18 Sep,640040
75,17 Sep,625651
76,16 Sep,614360
77,15 Sep,603167
78,14 Sep,593730
79,11 Sep,566326
80,10 Sep,554143
81,9 Sep,543379
82,8 Sep,534513
83,7 Sep,525549
84,4 Sep,498989
85,3 Sep,488513
86,2 Sep,479554
87,1 Sep,470973
88,31-Aug,462858
89,28-Aug,439286
90,27-Aug,429507
91,26-Aug,419849
92,25-Aug,412553
93,24-Aug,405436
94,21-Aug,386054
95,20-Aug,377906
96,19-Aug,370867
97,18-Aug,364196
98,17--Aug,359082
99,14-Aug,342813
100,13-Aug,337334
101,12-Aug,329784
