,Year,Inflation rate compared to previous year
0,2022*,"6,500%"
1,2021*,"6,500%"
2,2020*,"6,500%"
3,2019,"19,906.02%"
4,2018,"65,374.08%"
5,2017,438.12%
6,2016,254.95%
7,2015,121.74%
8,2014,62.17%
9,2013,40.64%
10,2012,21.07%
11,2011,26.09%
12,2010,28.19%
13,2009,26.04%
14,2008,31.44%
15,2007,18.7%
16,2006,13.66%
17,2005,15.96%
18,2004,21.75%
19,2003,31.09%
20,2002,22.43%
21,2001,12.53%
22,2000,16.21%
23,1999,23.57%
24,1998,35.78%
25,1997,50.04%
26,1996,99.88%
27,1995,59.92%
28,1994,60.82%
29,1993,38.12%
30,1992,31.42%
31,1991,34.21%
32,1990,40.66%
33,1989,84.46%
34,1988,29.47%
35,1987,28.14%
36,1986,11.54%
37,1985,11.38%
