,Month,Money supply in billion GBP
0,Jun '20,3178.9
1,May '20,3150.84
2,Apr '20,3113.05
3,Mar '20,3098.93
4,Feb '20,2932.84
5,Jan '20,2901.75
6,Dec '19,2897.82
7,Nov '19,2877.72
8,Oct '19,2869.65
9,Sep '19,2883.12
10,Aug '19,2893.64
11,Jul '19,2886.32
12,Jun '19,2875.92
13,May '19,2869.86
14,Apr '19,2859.51
15,Mar '19,2858.77
16,Feb '19,2850.29
17,Jan '19,2875.0
18,Dec '18,2910.42
19,Nov '18,2879.49
20,Oct '18,2884.34
21,Sep '18,2851.41
22,Aug '18,2832.61
23,Jul '18,2828.83
24,Jun '18,2828.41
25,May '18,2831.36
26,Apr '18,2787.29
27,Mar '18,2794.18
28,Feb '18,2827.54
29,Jan '18,2826.56
30,Dec '17,2802.96
31,Nov '17,2800.05
32,Oct '17,2803.18
33,Sep '17,2786.11
34,Aug '17,2773.49
35,Jul '17,2740.08
36,Jun '17,2734.62
37,May '17,2725.27
38,Apr '17,2725.68
39,Mar '17,2712.7
40,Feb '17,2686.5
41,Jan '17,2653.29
42,Dec '16,2635.61
43,Nov '16,2629.39
44,Oct '16,2634.97
45,Sep '16,2604.15
46,Aug '16,2586.36
47,Jul '16,2566.98
48,Jun '16,2540.06
49,May '16,2455.56
50,Apr '16,2443.02
51,Mar '16,2448.99
52,Feb '16,2440.73
53,Jan '16,2417.33
