,Month,Market share of sales
0,Sep '20,9.3%
1,Aug '20,9.5%
2,Jul '20,9.6%
3,Jun '20,10.7%
4,May '20,11.3%
5,Apr '20,11.2%
6,Mar '20,12.7%
7,Feb '20,13.1%
8,Jan ' 20,14.4%
9,Dec '19,14.4%
10,Nov '19,13.5%
11,Oct '19,11.8%
12,Sep '19,9.2%
13,Aug '19,10.5%
14,Jul '19,10.1%
15,Jun '19,10.8%
16,May '19,8.2%
17,Apr '19,7.4%
18,Mar '19,8.4%
19,Feb '19,9.2%
20,Jan '19,9.8%
21,Dec '18,9.9%
22,Nov '18,8.5%
23,Oct '18,7.9%
24,Sep '18,7.1%
25,Aug '18,9.8%
26,Jul '18,11.5%
27,Jun '18,11.8%
28,May '18,13.5%
29,Apr '18,12.4%
30,Mar '18,13.6%
31,Feb '18,11.1%
32,Jan '18,12.5%
33,Dec '17,12.7%
34,Nov '17,12.7%
35,Oct '17,14%
36,Sep '17,11.2%
37,Aug '17,11.4%
38,Jul '17,8.6%
39,Jun '17,8%
40,May '17,8.4%
41,Apr '17,7.5%
42,Mar '17,8.1%
43,Feb '17,7%
44,Jan '17,10.2%
45,Dec '16,12.3%
46,Nov '16,13%
47,Oct '16,7.9%
48,Sep '16,6.3%
49,Aug '16,7.1%
50,Jul '16,9.2%
51,Jun '16,8.2%
52,May '16,6.9%
53,Apr '16,5.5%
54,Mar '16,6.4%
55,Feb '16,9.1%
56,Jan '16,11.4%
