,Year,Inflation rate compared to previous year
0,2025*,4.01%
1,2024*,4.03%
2,2023*,5.12%
3,2022*,7.43%
4,2021*,8.24%
5,2020*,9.99%
6,2019,7.88%
7,2018,7.61%
8,2017,6.22%
9,2016,9.64%
10,2015,8.67%
11,2014,8.88%
12,2013,8.58%
13,2012,8.1%
14,2011,8.09%
15,2010,6.7%
16,2009,7.06%
17,2008,7.88%
18,2007,8.12%
19,2006,6.4%
20,2005,4.7%
21,2004,9.16%
22,2003,19.38%
23,2002,13.97%
24,2001,4.37%
25,2000,4.76%
26,1999,5.66%
27,1998,10.81%
28,1997,19.82%
29,1996,28.34%
30,1995,42.25%
31,1994,44.74%
32,1993,54.08%
33,1992,68.46%
34,1991,101.97%
35,1990,112.53%
36,1989,80.45%
37,1988,62.19%
38,1987,63.57%
39,1986,76.38%
40,1985,72.22%
