,Year,GDP in billion U.S. dollars
0,2024*,6259.58
1,2023*,6019.23
2,2022*,5796.03
3,2021*,5592.33
4,2020*,5413.05
5,2019*,5154.48
6,2018,4971.77
7,2017,4859.79
8,2016,4926.67
9,2015,4389.48
10,2014,4850.41
11,2013,5155.72
12,2012,6203.21
13,2011,6157.46
14,2010,5700.1
15,2009,5231.38
16,2008,5037.91
17,2007,4515.26
18,2006,4530.38
19,2005,4755.41
20,2004,4815.17
21,2003,4445.66
22,2002,4115.12
23,2001,4303.54
24,2000,4887.52
25,1999,4562.08
26,1998,4032.51
27,1997,4414.73
28,1996,4833.71
29,1995,5449.12
30,1994,4907.04
31,1993,4454.14
32,1992,3908.81
33,1991,3584.42
34,1990,3132.82
35,1989,3054.91
36,1988,3071.68
37,1987,2532.81
38,1986,2078.95
39,1985,1398.89
40,1984,1318.38
